,date,reviews,star,sentiment
22,2020-02-01,Muito bom. Chegou aqui muito rápido e serviu perfeitamente para os meus objetivos,5,positive
23,2020-02-05,Não recomendo!!Produto veio torto e não tem uma regulagem adequada para um notebook de 14 polegadas.Talvez seja ideal para um tablet mas para um laptop de 14pol é muito ruim. o notebook desliza com facilidade tornando-se perigoso.Triste pois tinha achado que foi uma boa compra!,1,negative
24,2020-02-11,É bom cumpre a função! achei que iria soltar mais,5,positive
25,2020-02-22,Custo x benefício,5,positive
26,2020-02-28,Atende 100% ao objetivo do suporte elevar o notebook na altura dos olhos. É mais firme do que parece e é clean. Gostei bastante.,5,positive
27,2020-02-28,"O produto é totalmente regulável, ficando ao gosto do usuário em que altura usar.Como o teclado do notebook fica alto e dificulta escrever/teclar, peguei um teclado e mouse sem fio (que estava parado há tempo) para facilitar na escrita e indicação do cursor/mouse, o local onde quero que este fique.Sugiro o produto, o vendedor e o site Amazon.",5,positive
28,2020-02-29,Chegou antes do prazo e atentei totalmente as expectativas. Recomendo...,5,positive
29,2020-02-29,"O suporte tem uma regulagem bem fixa e demora um pouco a ajustar sobre o notebook, mas depois que encaixa e você entende o ângulo de equilíbrio entre os dois, funciona perfeitamente.Tem um acabamento liso e brilhante, possui borrachas para apoio da base na superfície e também do notebook sobre o mesmo.Ótimo custo/benefício!",4,positive
30,2020-03-05,O suporte é bom era o que eu procurava mas fica limitado no ajuste de altura.,4,positive
31,2020-03-05,O suporte possui hastes grossas em ferro pintado de preto que não descasca. Acompanham duas borrachas que auxiliam no suporte para a estabilidade da frente do Notebook (que poderia virar para trás. Os pés de apoio são calçados com plástico e não arranham superfícies e evitam o deslizamento. Recomendo!,5,positive
32,2020-03-06,Ótimo suporte resistente é uma boa compra.,5,positive
33,2020-03-09,Um pouco frágil e não deixa o notebook numa posição que não seja um pouco torta.,3,negative
34,2020-03-12,cumpre o que diz,5,positive
35,2020-03-16,"Ótimo, ergonômico e prático. Aprovado!",5,positive
36,2020-03-19,"Atende perfeitamente, tem boa inclinação que ajuda o notebook a não esquentar muito...material de fabricação de ótima qualidade!",5,positive
37,2020-03-21,Amei,5,positive
38,2020-03-23,"A unidade veio para mim torta, tive que forçar o material para ficar melhor mas ainda sim o notebook fica torto. Além disso uma das pernas de suporte é maior que a outra dificultando ainda mais o nivelamento.",2,negative
39,2020-03-25,Preço e utilidade ótimo.,5,positive
40,2020-03-25,Excelente!,5,positive
41,2020-03-26,"A entrega foi muito rápida. Moro no interior da Bahia e chegou em 5 dias.O produto deixa o computador em uma altura ideal para garantir melhora na postura e ergonomia.O produto veio bem embalado, no entanto não regula corretamente. O computador fica torto quando deixo ambos os pezinhos do suporte na mesma altura para alcançar a mesa. Para que o computador fique reto, preciso deixar um dos pés do suporte em falso, o que reduz a estabilidade do produto.",4,positive
42,2020-03-27,a qualidade do produto é exelente,5,positive
43,2020-03-27,Para o que se propõe é um produto que atende o que o consumidor precisa por um preço justo.,5,positive
44,2020-03-28,"Produto simples, leve, não é robusto mas é muito útil e até agora tem sido resistente.",5,positive
45,2020-03-28,Simples e bem construído.,5,positive
46,2020-03-29,"Cumpre bem a sua função! Cor preta fosca, parece que não descasca. Chegou antes do previsto!",5,positive
47,2020-03-29,Produto de boa qualidade,5,positive
48,2020-03-30,Funciona bem!,5,positive
49,2020-03-31,Produto de baixa qualidade. Não possui nem um manual de instruções sobre como ajustá-lo da melhor forma.,2,negative
50,2020-03-31,Produto de péssima qualidade! Chegou totalmente empenado e é praticamente IMPOSSÍVEL conseguir uma posição estável para o notebook. Decepção total. Mal comecei a mexer na junção das hastes e já começou a rachar.,1,negative
51,2020-03-31,"Comprei ontem e já chegou hahaha veio super bem embalado e eu já estou utilizando, espero que dure bem :)",5,positive
52,2020-04-01,Muito bom,5,positive
53,2020-04-01,"Excelente, discreto e fácil de guardar se adapta a qualquer notebook em tempos de home office melhor investimento",5,positive
54,2020-04-01,Cumpre seu objetivo bem. Só achei um pouco chata a regulagem de altura,5,positive
55,2020-04-01,Excelente custo-benefício,5,positive
56,2020-04-02,"Para quem precisa de um suporte para deixar a tela mais alta para trabalhar e utilizar melhor o espaço que tem, este suporte é a solução. Economiza em espaço, é fácil de usar, robusto, boa estrutura e discreto. Os ajustes são bem personalizáveis e, para quem é bem alto e o laptop de 15' ou mais, o suporte é funcional e não deixa a desejar.",5,positive
57,2020-04-03,Não sei se foi só o meu mais veio todo torto.,2,negative
58,2020-04-03,Produto muito bom,5,positive
59,2020-04-03,"Comprei esse suporte porque comecei a fazer home office devido a crise do Covid-19. Foi uma ótima compra! Estava começando a sentir muitas dores nas costas e no pescoço, o suporte me serviu muito bem. Ele é prático, leve, ocupa pouco espaço e o seu material, que é de ferro, parece que vai durar por muito tempo.A grande vantagem dele para mim é a portabilidade. Eu posso levá-lo para outros lugares comigo (por enquanto não posso sair muito, mais pra frente poderei levá-lo para a faculdade) porque é possível adaptar o tamanho. A regulagem pode parecer complicada em um primeiro momento, mas depois que você entende como funciona, fica mais fácil. O suporte conta também com duas alças de silicone na parte debaixo para fixar o notebook e não ficar escorregando para os lados.Recomendo muito o produto!",5,positive
60,2020-04-03,Gostei muito. Leve e prático. Atende bem à finalidade.,5,positive
61,2020-04-04,O produto está empenado (torto). Me arrependi de ter comprado.,1,negative
62,2020-04-04,"Com a ajuda de um instrumento de nível, ainda assim foi difícil deixar o suporte em uma posição em que o computador não ficasse torto.Não tenho como avaliar durabilidade, usando o produto há um dia apenas.",3,negative
63,2020-04-06,"Produto bem acabado, bem flexível e estiloso.",5,positive
64,2020-04-09,Adorei o produto e chegou no prazo certinho.,5,positive
65,2020-04-09,"mesmo o produto sendo uma ""mão na roda"" e me ajudou muito no postural, ele veio um pouco troncho KKKmas mesmo assim muito usável. #amazonfoda",4,positive
66,2020-04-11,"Cumpre a função. Difícil manuseio no início e até hoje não conseguir deixar o notebook reto, fica sempre um lado mais baixo que o outro, não sei dizer se é por falta de jeito pra arrumar ou se o produto que veio torto mesmo. De qualquer forma, considero um ponto negativo, pois deveria ser mais simples de ajustar.",3,negative
67,2020-04-12,"Bom produto. O ideal é encontrar a posição que melhor se adequa a sua altura e não ficar desmontando, assim ele não irá perder a qualidade com o tempo.",4,positive
68,2020-04-13,Produto excelente pra postura e entrega muito rapida,5,positive
69,2020-04-13,"O design simples facilita a utilização, transporte e limpeza.",5,positive
70,2020-04-14,Suporte excelente,5,positive
71,2020-04-14,Produto não me deu muita confiança. Não deixa o notebook estável. Mas não é de tudo ruim.,3,negative
72,2020-04-14,Um pouco instável para notebooks um pouco maiores.,4,positive
73,2020-04-14,"Não permite muitos ajustes, de altura, por ex.",3,negative
74,2020-04-15,"Praticidade, é a palavra!",5,positive
75,2020-04-15,Simples e eficaz. Gostei da compra.,5,positive
76,2020-04-15,O produto é muito bom e foi entregue muito antes do prazo.,5,positive
77,2020-04-17,Produto vem torto. Por mais que você se esforce é quase impossível deixar o notebook numa posição reta.Fui motivo de piada na reunião da empresa pois a ficava com a câmera inclinada.,2,negative
78,2020-04-18,Pratico,4,positive
79,2020-04-19,"ótimo para deixar o notebook suspenso, ajuda na postura e no aquecimento do note, além de ser firme, não fica nada bambo e super fácil de ajustar se preciso!",5,positive
80,2020-04-19,Não espere nada de design ou qualidade. Ele vai te ajudar na ergonomia e só. Algumas marcações nas astes de suporte poderiam ajudar nos ajustes. de altura,3,negative
81,2020-04-19,Muito bom! Não vou ficar com dor no pescoço! Show de bola. Recomendados. Amazon entrega rápida.,5,positive
82,2020-04-19,Produito atende a necessidade.,5,positive
83,2020-04-20,Chegou antes do prazo e atendeu às minhas necessidades,5,positive
84,2020-04-20,"Prático, versátil e também se ajusta a qualquer ambiente.",5,positive
85,2020-04-20,"O material parece ser bastante resistente e com uma boa construção, simples, leve e que realmente cumpre com o que foi feito. Será muito útil para quem necessita de um suporta para notebook. Recomendo.",5,positive
86,2020-04-20,Comprei uma vez e voltei pra comprar mais. Ficou ótimo pra notebook e para tablet.,5,positive
87,2020-04-20,Ergonomicamente incrível! Vale o investimento nessa época de Home Office!,5,positive
88,2020-04-21,"Chegou muito rápido e o produto é excelente. Uso com um notebook de 14"" e o iPad.",5,positive
89,2020-04-21,Aparenta ser um material de boa qualidade e o ajuste é Bom,5,positive
90,2020-04-21,Bom produto,5,positive
91,2020-04-21,"Nunca comprei um produto tão ruim como esse.  Notebook não cabe, veio um lado desnivelado em relação ao outro. Horrível!!!",1,negative
92,2020-04-22,Fácil de manusear e guardar.,5,positive
93,2020-04-23,achei ele um pouco rigido demais para desdobrar mas serviu a meu propósito.,4,positive
94,2020-04-23,"O produto é de boa qualidade, aparentemente duradouro, pois os materiais utilizados são de boa qualidade. Me ajudou a ganhar espaço em minha bancada.",5,positive
95,2020-04-23,"Um dos braços articuláveis veio com defeito. É como se a peça estivesse muito apertada e não dá para moviemntar com facilidade. Deu a impressão de que o produto veio usado e só foi repassado para um novo comprador. Com muita dificuldade consigo ajeitar numa altura ideal, porém não tenho a menor vontade de movimentá-la novamente devido a dificuldade no deslize da peça.Só não troquei porque não vale a pena o esforço de ter que ir até os Correios para mandar de volta e ficar sabe se lá quanto tempo sem o suporte.Em resumo, procurem outro produto de outra fabricante. Nem percam tempo com essa.",1,negative
96,2020-04-23,Chegou antes do prazo e é ótimo,5,positive
97,2020-04-23,"Chegou rápido e adorei o produto, super prático e ergonômico",5,positive
98,2020-04-25,"Super prático, leve e ergonômico. Entrega antes do previsto. Bastante satisfeita.",5,positive
99,2020-04-25,"Ótimo, ergonômico e prático!!",4,positive
100,2020-04-25,"Modelo de fácil montagem, entrega super rápida e é bem ergonômico, com os ajustes consegue deixar o notebook na altura perfeita para trabalhar e/ou estudar",5,positive
101,2020-04-26,"muito bom otimo para trabalhos em casa como agora minha filha adorou, ganhei beijos de quarentena",5,positive
102,2020-04-27,qualidade pessima,1,negative
103,2020-04-27,"O suporte é ótimo e resistente. Atendeu totalmente minhas expectativas e necessidade. Só demorei um poquinho para ajustá-lo, mas não considero uma falta grave.",5,positive
104,2020-04-27,Muito top bem prático custo e beneficio top,5,positive
105,2020-04-27,"Achei o produto ok para usar em casa, não vi como algo para ser levado para outros lugares, por exemplo.  Ele é bom e não me parece muito firme. As hastes que seguram o notebook parece que ficam soltas. Não é exatamente o que eu estava procurando, pois eu queria algo mais firme e que tivesse uma durabilidade maior. Ma pelo preço valeu a pena.",3,negative
106,2020-04-28,"Cumpre bem o papel, porém ele veio um pouco torto e eu não consegui desentortar.",4,positive
107,2020-04-28,Cumpre a função muito bem. Bom preço.,5,positive
108,2020-04-28,Chegou antes de prazo estabelecido!Ótimo produto! Top!,5,positive
109,2020-04-29,Atendeu perfeitamente as expectativas e mesmo em tempos de quarentena a entrega chegou antes do prazo.  A Amazon está de parabéns!,4,positive
110,2020-04-30,Atendeu plenamente as minhas expectativas.,5,positive
111,2020-04-30,Bem o que precisava para trabalhar,5,positive
112,2020-04-30,"Muito prático para carregar para todo lugar.Bem fácil o manuseio e, até o momento, me parece que terá uma boa durabilidade por conta do material.",5,positive
113,2020-05-01,Muito útilVale muito a pena,5,positive
114,2020-05-01,"Muito bom para por o notebook,  ele fica em uma posição bem comoda",5,positive
115,2020-05-01,Excelente produto,5,positive
116,2020-05-02,"Tem uma boa proposta, mas  falta estabilidade e é meio torto, as pernas são assimétricas.Não é ruim, dá pra usar, mas tinha a ideia de uma construção mais detalhista, mais caprichada.Acho que consigo fazer um assim com as ferramentas que tenho em casa.",4,positive
117,2020-05-03,O produto veio com o ferro torto.,1,negative
118,2020-05-04,Boa qualidade no geral. Leve e prático.,5,positive
119,2020-05-04,Excelente produto.,5,positive
120,2020-05-04,"O suporte me ofereceu uma ergonomia muito melhor e foi muito fácil de manuseá-lo. Além disso, sua construção é firme!",5,positive
121,2020-05-04,Gostei. Minha filha trabalha bastante com o laptop e disse que é bem útil,5,positive
122,2020-05-05,Em termos de custo-benefício é uma boa aquisição para home office.,5,positive
123,2020-05-05,"Suporte muito bem estruturado, garantindo segurança ao aparelho.",5,positive
124,2020-05-05,Suportou bem meu notebook que é pesado,5,positive
125,2020-05-06,"Ótimo produto, mas pela altura que precisava, poderia ser um pouco mais elevado ou ter alguma regulagem. No fim, o problema foi a altura do suporte do outro monitor que uso com o notebook. De todas as formas, o produto é excelente.",4,positive
126,2020-05-07,"O produto é de boa qualidade, exatamente como a descrição. Porém ele deixa o notebook um pouco alto, é confortável para digitar e ver a tela, mas demora a acostumar.",5,positive
127,2020-05-07,"Pelo custo benefício vale a pena, a estrutura é simples, mas dá uma boa estabilidade para o notebook.",3,negative
128,2020-05-07,Atendeu a necessidade,5,positive
129,2020-05-07,"é aquele produto que vai atender muito bem às suas necessidades. Aparentemente durável, vários amigos já tinham e me indicaram dizendo ter uma boa durabilidade. Ele cumpre o seu papel, não ocupa espaço, é possível regular a altura e é discreto.",5,positive
130,2020-05-08,"Muito bom! Estável, bom acabamento.",5,positive
131,2020-05-08,"Chegou torto e com embalagem interna semi-aberta o que indica ser um item que foi manuseado e possivelmente objeto de devolução de outro cliente. No entanto após encaixar o laptop, fica estável e não compromete o trabalho.",4,positive
132,2020-05-09,Atendeu 100% .,5,positive
133,2020-05-10,"É um bom produto, porém não permite ajustar a altura, ficando fixo em uma única posição.",4,positive
134,2020-05-10,Custo benefício!!!,5,positive
135,2020-05-10,"O produto veio com uma parte torta, defeituosa! Absurdo! Não fica 100% apoiado, fazendo com que o computador fique torto também.",1,negative
136,2020-05-11,"Amei o produto, chegou antes do estimado e em perfeito estado.Ótimo custo beneficio !Recomendo muito.",5,positive
137,2020-05-11,Bom produto,5,positive
138,2020-05-11,"Se você quer uma opção de suporte simples e prático que cumpra sua função: não compre. Além da demora absurda pra chegar (passou do prazo dado pela Amazon), o suporte simplesmente veio empenado e deixa o notebook torto. Péssimo pra ajustar, não fica estável de jeito nenhum. Coloque o seu notebook em cima de uma pilha de livros que vai resolver o seu problema muito melhor do que esse produto.",1,negative
139,2020-05-11,"O Fornecedor mandou tudo certinho. Não tenho do que reclamar. Quanto ao produto, péssima estabilidade. Ele fica descaído, só não devolvi porque não poderia sair de casa com a pandemia. Me arrependi.",1,negative
140,2020-05-12,Excelente qualidade. Amei!!,5,positive
141,2020-05-12,"Fácil de manusear, toma pouco espaço e, por ser vazado, permite uma boa circulação de ar no entorno do notebook.",5,positive
142,2020-05-12,"Bom, só poderia ser emborrachado para evitar arranhões. Mas gostei muito.",5,positive
143,2020-05-13,"Bom produto, cumpre o que promete. Os correios (como quase sempre) amassou o produto. Tive que fazer um pouco de força para colocar de volta no lugar, nada demais.",5,positive
144,2020-05-14,"Ótimo produto deixa o notebook muito seguro, bem fixo, ele vem com as borrachinhas de silicone para manter o aparelho seguro no lugar. Super indico !!",5,positive
145,2020-05-14,"Sinceramente gostei dms, o produto traz conforto para a sua postura, aparenta ser muito boa a durabilidade, é regulável, e ainda seu notebook não esquenta. Recomendo muito!",5,positive
146,2020-05-14,"A entrega pela Amazon foi espetacular, incrível a rapidez. O produto aparentemente é bem resistente e pode regular a altura, senti falta de um manual pois eu tive alguns probleminhas para colocar no meu notebook pelo fato dele ser grande.",5,positive
147,2020-05-14,"Comprei este produto para substituir um outro modelo que usei por mais de 10 anos, por isso, minhas expectativas para este produto estão bem altas.Achei o ângulo de inclinação o pouco elevado, o quê me obrigou a comprar um teclado s/ fio, não quero ficar com problemas nas articulações futuramente. No mais a sua ergonomia é boa e fica numa boa altura para os olhos.Vamos ver no quesito durabilidade como ele se sai. Assim, até o momento, estou satisfeito com o produto comprado.",4,positive
148,2020-05-14,Produto ok,5,positive
149,2020-05-15,Superou minhas expectativas. Muito bom!,5,positive
150,2020-05-15,"O produto e legal, porém um pouco chato na hora de montar, porém consegue segurar o notebook de 15.6 polegadas",5,positive
151,2020-05-15,"Muito bom, comprei na cor preta e é bem discreto, recomendo fortemente.",5,positive
152,2020-05-16,Gostei!,5,positive
153,2020-05-18,Sua utilização é bem simples e me parece ter boa durabilidade.Frequentemente é necessário reajustá-lo para que não permaneça torto.,4,positive
154,2020-05-19,"Produto excepcional, super recomendado.",5,positive
155,2020-05-20,Ótimo custo benefício. Cumpre com tudo que promete no anúncio. Estou muito satisfeito.,5,positive
156,2020-05-20,"É um produto de qualidade boa pelo preço que custa, mas poderia sim ser um pouco mais barato!",5,positive
157,2020-05-22,"Gostei bastante do suporte, parece durar bastante",5,positive
158,2020-05-23,Bem mais forte do que eu esperava. Boa aparência e útil até mesmo para apoiar o celular e kindle.,5,positive
159,2020-05-23,prático,4,positive
160,2020-05-23,Excelente!,5,positive
161,2020-05-23,Muito bom .,5,positive
162,2020-05-23,"Produto versátil , resistente, ergonômico, cumpre com sua função pelo preco",4,positive
163,2020-05-24,"Produto com altura variável de boa qualidade, bem estável. Chegou apenas um pouco torto, mas é quase imperceptível.",5,positive
164,2020-05-24,Amei o produto. Chegou antes do esperado.,5,positive
165,2020-05-25,Muito bom,5,positive
166,2020-05-25,"O produto chegou antes da data prevista, o suporte é bem versátil, as hastes são bem grossas e pesadas, valeu o investimento.",5,positive
167,2020-05-26,"Produto chegou em 1 dia útil, e é incrivelmente compacto e funcional!Recomendo.",5,positive
168,2020-05-26,"Cumpre a função, mantém o notebook bem estável.",5,positive
169,2020-05-26,Atendeu minhas expectativas tinha muito receio em comprar pela internet e a Amazon proporcionou uma experiência incrível com esse suporte para meu notebook. Parabéns ao vendedor e a Amazon.,5,positive
170,2020-05-28,Produto resistente e compacto. Recomendo.,5,positive
171,2020-05-28,"Era o que eu estava procurando. Achei complicado de montar no início, mas depois consegui e achei bem estável e resistente",5,positive
172,2020-05-28,"Suporte bonito e pratico, porém ele é um pouco “empenado” mas quando coloca o notebook em cima ele nivela.",4,positive
173,2020-05-29,O produto é excelente.Tudo ótimo.,5,positive
174,2020-05-30,"Excelente ficou muito melhor para visualizar e passar horas homeoffice, fácil montar e guardar, não ocupa espaço. Lembrando que é para que está usando mouse e teclado, uso notebook como tela. Entrega rápida um dia",5,positive
175,2020-05-30,Atendeu minhas expectativas.,5,positive
176,2020-05-30,Gostei! Muito funcional,5,positive
177,2020-05-30,"Recebi hoje e gostei bastante do produto. A entrega foi a jato, pois comprei ontem... Parabéns a Amazon.",5,positive
178,2020-05-30,"Chegou 3 dias antes do prazo, fácil de usar. Ele só fica estável quando o produto está 100% posicionado corretamente e isso é ótimo, pois evita o uso incorreto. Muito bom, recomendo e compraria novamente, inclusive do mesmo fornecedor.",5,positive
179,2020-05-30,"Considerando a relação custo-benefício, o produto atendeu bem às minhas expectativas! Ele cumpre bem o ato de deixar o notebook ou tablet na altura dos olhos, assim como evitar o superaquecimento dos equipamentos! Por outro lado, acredito que para a rotina de uso intenso do mesmo, seja necessário utilizar um teclado extra, a fim de evitar incômodos nos punhos e mãos.",5,positive
180,2020-05-31,"O produto é útil ao que se propõe a fazer. O ponto negativo fica para o acabamento, que deixa a desejar, especialmente as partes plásticas.",4,positive
181,2020-05-31,"Veio ""torto"" tenho que usar um pequeno apoio para o note não pender. Nada que valesse  troca porque tinha urgência na utilização.",3,negative
182,2020-05-31,Custo beneficio OKPrático OK,5,positive
183,2020-06-01,"Coloca o notebook ou tablet em uma ótima altura para leitura. O suporte é bem construído, deixa o aparelho bem firme e, além disso é bastante portátil, pois se dobra com facilidade.",5,positive
184,2020-06-01,"Produto com muita qualidade, acessível e prático. Ajustável e seguro.",5,positive
185,2020-06-01,o produto chegou super rápido (pedi na sexta e sábado foi entregue) e é muito bom. tem poucos dias de uso mas parece ser resistente e é muito fácil de manusear.,5,positive
186,2020-06-01,Material excelente!!! Recomendo!!,5,positive
187,2020-06-01,"Suporte bem simples, porém eficiente. Fácil de usar e de transportar.",5,positive
188,2020-06-01,Produto veio torto/empenado! Difícil encontrar uma posição que deixe o notebook estável... Só não devolvi porque não compensava o trabalho.,2,negative
189,2020-06-02,Bem prático e de fácil utilização.,5,positive
190,2020-06-02,"Boa opção para o home office, mas a peça que recebi veio um pouco torta. Para que o notebook possa ficar na posição correta, é necessário ajustar o lado esquerdo de forma diferente do lado direito. Mesmo assim, ele é estável e atendeu bem minha necessidade (notebook de 15 polegadas).",3,negative
191,2020-06-02,"O suporte é bom mas praticamente não consigo colocá-lo numa posição que ele não fique bambo. Quando o notebook está em cima fica ok, mas as pernas acabam se abrindo.",4,positive
192,2020-06-02,Ótimo produto.,5,positive
193,2020-06-02,Como anunciado.,5,positive
194,2020-06-03,"Eu tinha dores no pescoço e meu notebook (que é antigo, grande e pesado) sempre esquentava facilmente embaixo, isso me obrigava a colocar coisas para apoiá-lo e evitar o aquecimento.Esse suporte mudou a minha vida, tanto para trabalho, quanto para estudo (pois deixa a tela na altura do seu rosto, o que é o ergonomicamente correto).Compre sem medo, você não irá se arrepender.",5,positive
195,2020-06-03,"Gostei muito da praticidade e do material, só não gostei muito do tamanho porque se não ficar ajustando bem o notebook fica caindo pelos lados.",4,positive
196,2020-06-03,"Gostei bastante do produto, fácil de transportar e com ótimo custo benefício. Se adequa a qualquer tamanho de notebook/tablets.",5,positive
197,2020-06-03,"Suporte leve, prático, de fácil manuseio.",5,positive
198,2020-06-03,"Recebi o produto com uma das hastes empenada, percebi quando abri e montei para usar no computador.",5,positive
199,2020-06-03,"chegou super rápido, simples mais que já está resolvendo bastante o meu problema.",5,positive
200,2020-06-03,Ótimo.,5,positive
201,2020-06-04,"Tenho um notebook de 15,6"" e o suporte serviu perfeitamente. Recomendo.",5,positive
202,2020-06-04,"Gostei muito, utilizo para trabalho e está sendo muito útil.",5,positive
203,2020-06-04,"Produto veio com problema, e está torto de um dos lados. Infelizmente comprei durante a pandemia e não pude ir nos correios efetuar devolução. Enfim, tudo ok com a amazon (entrega e pós-venda), mas não recomendo o produto.",2,negative
204,2020-06-04,Bom produto!,5,positive
205,2020-06-04,"Salvação da lavoura, minha coluna agradece...",5,positive
206,2020-06-04,"O produto no geral é muito bom. Feito em material bastante resistente. Tenho um notebook de 15,6"" e não tive problema nenhum em relação ao tamanho dele com o suporte. Tem proteção para evitar arranhões tanto no notebook quanto onde será apoiado o suporte. Só achei que deveria vim com borrachinhas que aderem melhor ao notebook  p evitar escorregar, mas ajeitando bem o suporte, não há como dar errado. No mais, foi uma boa compra.",5,positive
207,2020-06-05,Ótimo produto e atende perfeitamente.Bom material e entrega rápida.,5,positive
208,2020-06-05,Recomendo!,5,positive
209,2020-06-05,"Atende as necessidades. É simples, leve e pratico.",5,positive
210,2020-06-05,Muito bom,5,positive
211,2020-06-05,"Ótimo custo benefício, resistente e de ótimo material, fiquei com medo de comprar e ele ser de má qualidade ou não ter estabilidade no desktop porém ele me surpreendeu!",5,positive
212,2020-06-05,"O produto é muito bom, a única coisa contra é que as vezes tenho dificuldade de achar o alinhamento perfeito, mas encontro. Resumindo, vale a pena o custo-benefício.",4,positive
213,2020-06-05,não achei seguro colocar o notebook.,2,negative
214,2020-06-05,"O produto é muito bom atende as expectativas, eu ia comprar outro mais aumentou o preço.",5,positive
215,2020-06-05,"Estou refazendo a avaliação porque o produto começou a apresentar defeito em menos de um ano. O lado direito agora desliza e não estabiliza na posição que deixei, me atrapalhando no dia a dia. Tive que colocar uma fita durex para tentar estabilizar. Não recomendo a compra do produto.",2,negative
216,2020-06-06,"O produto cumpre o prometido. Eu utilizo em um Dell G3 de 15.6 e o produto fica bom. Porém o meu suporte já chegou com várias marcas: arranhado, descascando e outras, mas nada que atrapalhe, porém não é um suporte caro e nem barato, era de se esperar que chegasse sem avarias.",2,negative
217,2020-06-06,O controle de altura não fixa bem.,3,negative
218,2020-06-06,"Excelente produto, fácil de instalar e posicionar, economiza muito o espaço e melhora a ergonomia.",5,positive
219,2020-06-06,Me salvou. Excelente!!!,5,positive
220,2020-06-06,Produto ótimo! Entrega o que promete e atende as expectativas,5,positive
221,2020-06-06,Ótima qualidade e bastante estável.,4,positive
222,2020-06-06,"Excelente suporte para notebook, recomendo, todo em metal com as conexões em plástico resistente. Gostei muito do produto e atendeu minhas necessidades.",5,positive
223,2020-06-06,"Produto cumpre o que promete e tem boa estabilidade, não fica balançando. Possui borrachinhas que evitam que o computador escorregue do suporte, melhorando ainda mais a estabilidade. Gostei bastante.",5,positive
224,2020-06-07,"Apesar de ser um pouquinho chato de ajustar pela primeira vez pela falta de indicação da configuração escolhida (o que dificulta a igualar os lados), é simplesmente perfeito. Material rígido, fácil de configurar, simples e objetivo no que sugere. Cumpre perfeitamente seu papel, e, pelo tamanho e facilidade na dobra, pode ser transportado tranquilamente, o que permite que seja usado em qualquer lugar. Recomendo e recomendaria mais um milhão de vezes.",5,positive
225,2020-06-08,Produto útil leve é ajustável,5,positive
226,2020-06-08,"É bem prático e serviu para meu notebook que não é tão pequeno (vaio), também serve para tablet.",5,positive
227,2020-06-08,Adequado para a proposta de ergonomia por uma via mais simples,3,negative
228,2020-06-08,"É o que estava esperando, um suporte para seguir as recomendações ergonômicas. Poderia ser um pouco mais estável, e às vezes quando mexo dá medo de quebrar, pois seu manuseio é um pouco confuso. Mas o material é bem resistente e a durabilidade parece ser ótima. Cumpre o seu propósito.",5,positive
229,2020-06-08,Produto até então tem atendido bem. Aparentemente de boa construção e alta durabilidade.,5,positive
230,2020-06-08,"Bom para manter o monitor no campo direto de visão, e é fácil de carregar na mochila.",5,positive
