,reviews,star,date
11,"É elegante e compacto, pra transportar é excelente. Parece frágil mas é muito resistente e firme. Porém o meu veio torto, e com uma haste que desliza muito apertada e outra quase frouxa. Super difícil de posicionar, além de ter que ficar improvisando calços. Pra evitar sair de casa, passar por toda burocracia pra devolver, e ainda ficar sem um suporte, comprei um segundo, de outra cor, com outro vendedor, achando se tratar de um problema isolado. Mas recebi um segundo suporte com exatamente os mesmos problemas. Li que outras pessoas também tiveram o mesmo problema. Pela portabilidade ele é bom, mas só como quebra galho, por que é chato passar vários minutos tentando fazer o notebook ficar retilíneo toda vez que precisar arma-lo.","3,0",15 de novembro de 2020
12,"Compramos 2, ao abrir os produtos ficamos muitos decepcionados, pois estávamos bem animados com o prazo de entrega que foi em menos de 1 semana.O produto veio com defeitos escancarados, dava pra ver de cara que não era resistente, na parte de plástico em que faz as junções dos ferros veio trincado e um deles já bem quebrado, no primeiro uso ambos já quebraram. Algo que me fez pensar até que fossem produtos que já haviam sido devolvidos com defeitos. Não compraria novamente.","1,0",23 de agosto de 2020
13,"O produto é razoável.Não é fácil de achar uma posição em que o notebook não fique torto.Creio que há melhores n faixa de preços similares.Falta um cuidado maior nos locais onde o laptop entra em contato com a parte de metal - deveria haver alguma proteção ali, vem como sobre as partes de plástico duro (essas são os pontos que podem arranhar o laptop com o uso continuo).Se eu tivesse percebido antes como era, provavelmente não o teria comprado.","3,0",7 de junho de 2021
14,"Confesso que esperava uma construção melhor, ele apresenta um desnível em uma das ""pernas"", mas tenho tentado achar uma posição que facilite a visualização da tela sem que ela aparente estar tão inclinada. De todo modo, tenho tentado me adaptar, mas é visível que ajuda de mais no quesito postura. E foi justamente pela postura que acabei adquirindo o produto. Quanto a entrega, foi tl rápida e chegou antes do previsto,mas poderiam ter embalado de uma forma melhor, ainda que não tenha chegado com a embalagem danificada ou amassada, mas o lacre parecia estar descolado e fiquei com um pouco de receio, porém, tudo ok com o produto.","3,0",3 de dezembro de 2020
15,"Ele não possuí uma regulação de angulo satisfatório. Na menor das alturas o notbook continua muito alto, nada ergonômico... Tive que adaptar o suporte, de modo que se eu der um toque o computador caí da base... Enfim, não atendeu minhas expectativas, joguei dinheiro fora, pois ele está guardado dentro da caixa sem uso algum.","1,0",14 de agosto de 2020
16,"O produto normalmente seria muito bem avaliado com alguns poréns do tipo p notebook fica escorregando, não sendo um produto estável quando precisasse de estabilidade. O ferro, sendo ele composto de ferro, veio torto e nem Deus ajuda à arrumar. Ficando assim com a tela torta. São situações que tiram completamente as estrelas da avaliação do produto, sem condições de ter uma avaliação perfeita, embora o produto têm claramente um grande potencial!Infelizmente, não recomendo. Sei lá, apoia teu notebook em um livro. Amarra na parede, sei lá...","1,0",25 de fevereiro de 2021
17,"O produto é bem grosseiro e chegou empenado, não apoiava direito na mesa, ficava instável. Para conseguir que ele ficasse estável na mesa não era possível regular a altura até o ponto que ele ficasse ergonômico para mim. Independente de estar empenado a regulagem de altura é difícil mesmo, não tem um ajuste fino. Tive que comprar outro modelo.","1,0",12 de setembro de 2020
18,"Ao colocar o notebook em cima do suporte ele não fica estável, parece uma mesa bamba que precisa de calço pois apenas consegue ficar apoiado em 3 pontas de apoio.Além disso embora pareça firme não é recomendado mexer no notebook uma vez em cima pois o suporte tende a mexer/virar parecendo que pode até deixar cair o aparelho de cima.Outro ponto negativo é que por ser fixo, não é possível alterar a altura do notebook, embora haja parte móveis, a altura é praticamente fixa.As pequenas partes transparentes para prender a base do notebook praticamente são inúteis pois não tem força o suficiente para segurá-lo e endireitá-lo (visto que o meu ficou torto em cima do suporte).","2,0",8 de novembro de 2020
19,"É impossível alinhar este suporte, que provavelmente tem algum grau de imperfeição na fabricação, não existe uma posição onde o notebook fique alinhado, as borrachas de apoio são anéis que não travam e o suporte desliza pouco a pouco, em alguns dias seu notebook estará inclinado.Toda vez que eu limpo a mesa tenho que passar uns bons 5 minutos tentando colocar o suporte numa posição onde o notebook fique quase alinhado. Cada eixo T tem uma tensão e alinhamento diferente, eu simplesmente desisti da ideia de tentar alinhar o produto e uso de uma forma que o notebook fique visualmente alinhado.Se você não se importar com esse problema o produto da conta do recado...","1,0",4 de agosto de 2021
20,"Bom, eu não recomendaria esse produto... Ele veio torto, e assim, mesmo indicando que é para todos os tamanho de notebook, o meu q é de 15,6 não ficou legal, não passava sensação de segurança... Para não trocar, dei o suporte para minha mãe q possui um netbook de 11, e q se adaptou melhor devido ao net ser bem mais leve. Concluindo, caso vc tenha um netbook ou um tablet, pode ser uma boa opção, agora para notebooks maiores não recomendo.","2,0",21 de março de 2021
21,"Mesmo regulável, não atinge uma altura boa para a postura.O material parece ser bom, mas o meu veio todo torto, não é simétrio. O Notebook só apoia em uma perna e ela pode abrir causado a queda e quebra do notebook.Eu não confio deixar meu notebook apoiado no suporte da forma que ele veio para mim.Fiquei muito insatisfeito (pior apoio que já usei.. e olha que já usei uns de plástico beeem baratos).Uma das pernas está ok, a outra não apresenta resistencia ao movimento, não consegue ficar apoiada direito, não segura o peso do notebook e começa a abrir a perna - totalmente ruim. Não indico","1,0",7 de abril de 2021
22,"Um pouco decepcionado, porque o produto veio com defeito. O que mantém a sustentabilidade e ajuste da altura em que o notebook ficará, são duas peças de borracha que ""travam"" o deslizamento da barra de metal. Uma dessas peças de borracha veio muito frouxa, o que prejudica a estabilidade e posicionamento do notebook. Mas, eu dei meus pulos aqui e consegui ajustá-la de uma forma que foi o suficiente para mim, muito melhor do que lidar com todo o trâmite de trocar o produto.Custo/Benefício, não achei válido.","3,0",9 de maio de 2021
23,"Muito ruim o suporte. Veio torto, então tive que fazer uns ajustes nele para o notebook ficar reto. Além disso, na primeira vez que dobrei para guardar, ele soltou uma das pernas e agora ela encaixada e montada fica frouxa (ou seja, só é possível deixar o notebook em apenas uma posição. Mas o que mais me incomoda é que o suporte inferior simplesmente não funciona; o notebook fica escorregando e deslizando para cima do meu teclado. Simplesmente péssimo. Estou procurando outro suporte, porque isso aqui foi só dinheiro jogado fora.","1,0",13 de janeiro de 2021
24,"Comprei o produto pelas avaliações da Amazon, mas ao chegar em casa, a experiência foi bem ruim. Primeiro, ele não era simétrico: ao deixar o produto alinhado da mesma forma dos 2 lados, um dos suportes ficava apoiado ao chão, enquanto o outro não.Para ""corrigir"" esse problema, fui girando o suporte até que ambos os pés ficassem apoiados ao chão. Porém, como tive que deixar os ""pés"" do suporte alinhados em ""V"", ai a estabilidade para o notebook se perdia (de um dos lados ele ficava apoiado no suporte, enquanto no outro não encostava, deixando o notebook sem estabilidade.Enfim, o preço baixo não compensa pois achei a qualidade do suporte ruim. Vou buscar outra alternativa, mesmo que a um preço maior.","1,0",2 de abril de 2021
25,,"3,0",25 de novembro de 2021
26,"Comprei o suporte e chegou dentro do prazo e com embalagem intacta. Porém ao desembalar reparei que o produto veio quebrado. Uma das conexões das pernas partiu e veio solta. Não sei se foi defeito de fábrica ou descuidado no transporte. Então avaliei com 3 estrelas para não ser injusto, pois não pude testar o produto.O lado positivo é que a devolução foi super tranquila, não tive que pagar nada para devolver e reenviar. O reembolso foi feito em uma semana, tudo certinho. E acabei comprando um outro suporte de outra marca. Fica o meu relato.","3,0",31 de julho de 2020
27,"O produto da OCTOO atende muito bem aos que carecem de suporte no processo de visualização na tela do seu notebook. Apesar do adquirido por mim ter vindo com defeito em uma das hastes de sustentação, impedindo com firmeza a sustentação do equipamento, recomendo a aquisição, pois com certeza, decorre de problema pontual no meu produto.","3,0",18 de fevereiro de 2021
28,"É um produto pequeno, portátil, que cumpre a função a que se propõe. Infelizmente por ser todo dobrável, é um pouco difícil de nivelar o computador em cima, principalmente porque o meu suporte veio um pouco ""retorcido"", fazendo com que a base tendesse a ficar apoiada em 3 pés, com um deles flutuando. Corrigi o problema na força bruta mesmo, entortando o metal na mão até ficar mais estável, mas confesso que ainda fica um sensação de que está torto. Se você é uma pessoa que se importa com um bom nivelamento do notebook em cima da base, recomendo que busque outro produto mais ""quadrado"" o que deve facilitar nesse quesito. Caso não se importe muito com esse detalhe, recomendo o produto, pois resolve o problema e possui um bom custo-benefício.","3,0",9 de abril de 2021
29,"Adquiri o produto está com 06 meses: não recomendo. Depois de alguns meses, os fixados (articulações negras) ficaram flácidas, frouxas, fazendo escorregar a interseção entre os braços dele. Vc configura uma altura e, após alguns minutos, ela vai ""escorregando"" e deixando o notebook torto, penso pra um dos lados. A estabilidade do produto poderia ser melhor, com passar de tão poucos meses (06 meses). Apesar de ser modelo menos caros, há opções melhores, no final das contas.","3,0",1 de fevereiro de 2022
30,"Acabei comprando outro depois de 3 semanas de uso. A principio parecia bom mas tem alguns problemas de estabilidade para laptop de 15 polegadas. Um fator importante para avaliar na hora da compra: os que permitem ajuste da inclinação são bem melhores,  vale gastar um pouco mais e ter mais conforto e opções de uso.","3,0",4 de maio de 2021
31,"A ideia é interessante, porém na prática é muito diferente. Ele desalinha com facilidade, fica torto. Também não consegue erguer muito a tela, ao menos não o suficiente para a ergonomia. Espero que aperfeiçoem e fique melhor numa próxima versão, pois a ideia não é ruim!!","2,0",6 de setembro de 2020
32,"Não é horrível mas também não é bom. Sinceramente achei um pouco mal feito, é instável e difícil de ajustar na posição. O notebook que uso tem menos de 14'', é novo e mesmo assim fica instável e escorrega um pouco. Eu continuo usando, mas assim, vale 50 reais? Nem. Vale uns 20.","3,0",5 de janeiro de 2022
33,"Passei um tempão buscando um suporte bom e acabei comprando este, sobretudo por ser de ferro e parecer fácil manusear e transportar. Porém, me decepcionei... É bem frágil, achei que por ser de ferro seria mais durável, mas já veio bem mole e tem posição que não segura pelos prendedores das hastes estarem frouxos. Imaginei que pelo formato seria bom, mas, por ser fininho e leve, acaba se soltando fácil, e, dependendo do posição, o notebook cai... Enfim, não recomendo.","2,0",26 de fevereiro de 2022
34,"Ruim de ajustar, ele não é tão rígido e com apenas 2 ajustes já ficou tudo mole. Se for deixar parado na mesa sem ficar levando, ok.. vc arruma a posição e não mexe mais. Achei o preço alto pela qualidade baixa.","3,0",7 de agosto de 2020
35,"Comprei este produto tem 5 meses e me senti na obrigação de fazer uma avaliação fidedigna após algum tempo de uso. Logo quando comprei o produto funcionou muito bem como prometido. Entretanto, como estive em regime hibrido de trabalho (home office e presencial), tinha que me locomover frequentemente. Então, com o passar do tempo a peça que permite que os ""garfos"" sejam ajustados, que é plástica, foi perdendo a sua ""força"" de abraçar os garfos com o tempo e hoje estou usando ele com um armengue para funcionar bem. Uma outra coisa que folgou com o tempo foi a borrachinha no final do ""garfo"" que inibe que o notebook corra para fora do suporte. Nesa exata data comprei um outro suporte, com um mecanismo diferente pq este não me atende mais e me dá raiva algumas vezes pq o notebook não fica fixado direito.Não recomendaria o produto pois ele é muito passível de falhar mecanicamente com o tempo","2,0",27 de agosto de 2021
36,"Não gostei. Apesar de suspender o notebook, mesmo ajustando as hastes, o notebook fica torto (parece que veio meio empenado). Já tentei colocar de todas as formas e mesmo assim não fica reto. Estou tento que colocar um calço pra tirar a diferença de um lado para o outro.","3,0",22 de fevereiro de 2021
37,"O produto foi barato, chegou antes do prazo final da entrega, porém deixa a desejar. Por mais que eu tenha seguido todas as recomendações de regulação do fabricante, há sempre um desnível em um dos lados do suporte. Tive que amassar um dos lados para tentar deixar o notebook um pouco mais nivelado, porém quando há necessidade de regular a altura o problema ressurge e com ele, a necessidade de amassar o suporte surge novamente. E assim tem sido o uso frustrante desse suporte. Não sei se foi o lote, mas tenho outros colegas de trabalho que usam o mesmo suporte e não tem esse problema de nivelamento, aconteça o acontecer.","1,0",27 de outubro de 2021
38,"O produto é bom! Porém pra que você use necessita de outro acessório, o teclado USB, pois digitar no notebook com o suporte lhe causará algumas dores na mão, por conta da posição.Então sugiro que avaliem bem. Se você não digita tanto, ele é ótimo ergonômicamente.Contudo, espero que tu tenha uma boa cadeira e mesa, pois ergonomia vai além de um suporte para notebook","3,0",1 de julho de 2020
39,"Um lado dos pés é mais alto que o outro e se você coloca o notebook em cima, a tela fica torta. Tanto que para ajustar, você deve afastar a perna mais alta mas acaba que a altura que o notebook deveria ficar, fica mais baixo. Sugiro que compre outro, na humildade.","3,0",19 de maio de 2021
40,"Bom pra elevar a tela do notebook, principalmente pra quem usa a câmera. Fácil de usar e eficaz.Ponto negativo apenas ter duas posições apenas. E o notebook precisa ficar bem aberto, então digitar nele é muito complicado. Funciona bem com um teclado extra.","3,0",16 de fevereiro de 2022
41,"Suporte simples, instável, acredito até que pouco resistente, mas funciona bem.Entenda-se como funciona bem o fato dele manter o notebook apoiado. Se você tiver de usar o teclado do note enquanto ele estiver no suporte irá ter problemas de estabilidade e, creio, até de danificação precoce do suporte. No meu caso, tenho teclado e monitor separados e só uso a tecla de liga e desliga do note. Desse jeito funciona muito bem comigo mantendo o notebook bem apoiado. Avalie bem suas necessidades antes de comprar o produto.","2,0",22 de junho de 2020
42,"Eu uso, porém não do jeito que, supostamente, era para ser usado. Precisei invertê-lo e usar um bloco de apoio em um dos lados. Não é estável e mesmo customizando altura e abertura dos aros, não ficou bom. Ele é fácil de dobrar e o design é minimalista, mas a funcionalidade deixou muito a desejar.","1,0",2 de agosto de 2021
43,"Eu acredito que o suporte seja bom, falando dos materiais, tu vê que tem qualidade, e deixa o notebook na altura ergonomicamente correta, porém um dos lados sempre fica desalinhado, deixando o notebook torto, estou compensando colocando uma caneta, ou se ele não escorrega um dos apoios (lado direito), ele fica reto, mas o suporte não encosta na mesa. Acredito que tive esse azar, um caso isolado, pois vi avaliações e vídeos no YouTube antes de comprar, e a preguiça me impediu de abrir reclamação e tentar a troca. Mas funciona e apesar da gambiarra, serve ao propósito.","3,0",19 de junho de 2021
44,"Apesar das hastes serem de um material bem forte, a montagem é imperfeita e empenada. Um dos lados é mais frouxo que o outro, facilmente se movimentando e desalinhando, principalmente com computadores mais pesadas. Dinheiro jogado fora. Não recomendo. Só não vou me dar o trabalho de devolver porque cai na besteira de jogar a embalagem fora antes de usar.","1,0",16 de março de 2021
45,"Aguenta o peso do laptop e fica em uma boa posição.Porém veio um pouco torto e os pés de frente não tocam a superfície da mesa na mesma altura, fica bambo. Se ajustar ora tocar a mesa juntos, o notebook fica torto (um lado mais alto que o outro).Só vale a pena se for necessário pra ser levar o na mochila porque é pequeno, leve e barato. Se for pra usar só em casa, não recomendo.","2,0",18 de agosto de 2021
46,"Se você quer um suporte bemmm mais ou menos, so p segurar um notebook ou tablet pra assistir uma série, até dá pra usar, mas pra utilizar no dia a dia de verdade, não indico. O ajuste é ruim. Uma das hastes veio muito solta a ponto de eu não conseguir manter fixa a posição de um dos lados. Além de não ter fixação essa haste é torta. Em nenhuma das posições que coloquei meu notebook ele deixou de ficar torto. E olha que eu tentei, porque o suporte é bonitinho e parece ser de um material bom. Então não queria devolver. Mas não teve como. Muito mal feito.","2,0",19 de fevereiro de 2021
47,"Muito difícil de deixar o notebook estável, mesmo em cima da mesa. Estrutura dura e difícil de ajustar, fechar. Para a digitação ficar ergonônica você precisa de um teclado a parte pois, se for digitar diretamente no notebook, os cotovelos ficam sem apoio. Estou voltando para avaliar após alguns meses de uso e realmente não recomendo: não foi útil.","2,0",1 de maio de 2021
48,"Já estava ciente dos prováveis problemas, torcia pra não acontecer comigo porque algumas avaliações eram bem positivas. Mas aconteceu, veio meio desnivelado e amassado, tive que amassar pra tentar deixar mais nivelado.O que me decepcionou é que eu achei bem pequeno, ele vai até um pouco mais da metade do notebook, mas não alcança até o final, o que impossibilita e da medo de deixar em posições que o notebook fique mais “em pé”. O notebook é um Dell G7.Resumido eu recomendo só se for como quebra galho, se quiser comprar um melhor vai ter que gastar mais e é melhor não comprar esse","3,0",7 de junho de 2021
49,"O produto é pequeno, o que facilita a portabilidade. Estou há mais de 1 mês usando o produto e até hoje tenho dificuldade para regulá-lo. Os pés vieram desnivelados e a borracha de um dos pés é mais firme do que a outra, o que dificulta o manuseio da regulagem de altura, pois um pé fica caindo enquanto o outro fica no lugar. Para que o meu computador não ficasse torto e instável tive que colocar um calço. Não recomendo.","1,0",25 de março de 2021
50,"O suporte é forte e tem uma boa aparência, mas é torto. O notebook fica pendendo para um lado. Apesar de tentar ajustar para ficar reto, não consegui. Ele tem opções para ficar mais inclinado ou menos, mas não é fácil de articular, não é fácil de dobrar para carregar. E principalmente não é nada fácil de fazer o notebook ficar reto. Uma pena. Comprei como presente para minha esposa, mas ela não quis usar. Só não devolvi porque estou usando só na minha casa sem aproveitar a opção de dobrar e carregar em uma bolsa.","2,0",17 de novembro de 2021
51,"Gostei bastante do design, fica bonito na mesa. Depois de ajustado, fica estável.Pontos negativos: é todo de metal, e a a parte inferior que encosta no computador fica arranhando o notebook se ele for de metal também (como é o meu caso). Queria essa parte de baixo tivesse algum acabamento emborrachado ou de plástico, pra não ficar fazendo atrito metal no metal.","3,0",14 de janeiro de 2022
52,"Produto ok. Funciona, mas fica um pouco bambo. Provavelmente porque é USADO! Mas o pior é comprar como novo e receber um produto que, claramente, foi devolvido por algum imbecil que compra as coisas sem pesquisar e se arrepende. Aí, nós que sempre compramos pagamos, pois enviam coisa USADA pra nós sendo que pagamos por algo novo. Não vou devolver, porque tem que embalar e ir até os correios. Muito trabalho. Desinfetei e vou usar apenas no trabalho. Triste. A amazon não fiscaliza seu Market Place e permite que coisas como essa aconteçam.","2,0",11 de fevereiro de 2022
53,"Descasca com facilidade, e não tem nenhuma proteção para a parte inferior da carcaça do notebook que ficara apoiado nele, pensem nisso antes de comprar, eu poderia ter notado isso antes de comprar, pois as imagens fazem jús ao produto, porem não notei, arranhar o mac ou pagar mais num suporte com uma proteção melhor na parte inferior, uma borrachinha resolveria ou algo assim :(","3,0",2 de março de 2022
54,"Se você possuem um set-up em escritório e tem a necessidade de transportar o notebook, mas não o suporte existem outros produtos que seriam mais adequados, justamente pelo fato de que na maior parte das vezes que remove o PC dele, o suporte acaba perdendo o ajuste e você tem um trabalho depois novamente. Agora, se tem a necessidade de levar também o suporte junto ao notebook, vale á pena pelo espaço ocupado por ele nas mochilas.","3,0",17 de dezembro de 2020
55,"Infelizmente suporte está com um dos pés estragado, não possibilita o ajuste igual a altura do outro pé do suporte. Entrei na hora quando recebi o produto com o vendedor, porém já faz mais de um mês que ele não retorna para fazer o envio pra troca. Estou muito triste com a situação e nao recomendo esse produto.","1,0",11 de setembro de 2020
56,"O produto e bem feito mas mal planejado. Não tem silicone o borracha para poder amortecer o notebook, as pernas deles são meio chata de se alinhar. Sem a borracha começa a marcar a carcaça do seu notebook principalmente os gamers que são mais pesados. Tem uma boa pintura.","1,0",21 de setembro de 2020
57,"É alto. Conforme mostrado no vídeo e indicado na descrição do produto, ""eleva a tela do notebook na altura dos olhos"". Com isso, teclado e mouse corretos são essenciais para o melhor uso.","2,0",24 de janeiro de 2021
58,"Pelo preço que paguei no suporte, esperava no mínimo um acabamento melhor. O material é ok, é todo pintado e até que é bonitinho, fica esteticamente harmonioso na mesa com o notebook em cima, porém, veio torto. E quando digo torto é torto mesmo, a ponto do meu notebook de 15"" não ficar bem estabilizado no suporte. Me decepcionei bastante. Eu fiz uma gambiarra e aparentemente ele parou o notebook sem problemas, mas não dá pra confiar demais. Se eu soubesse que viria com esse problema teria investido em um suporte melhor.","3,0",6 de julho de 2021
59,"O produto veio empenado. Se o todos são assim ou se foi um problema específico do lote, não sei. As alturas que podemos colocar o note são boas e o material também (metal). Meu laptop é bem pesado e a estrutura do suporte não envergar apesar disso. Uso com um teclado e mouse à parte e fica confortável. Porém, uma vez posto no lugar, tento mexer o mínimo possível no suporte: ele é torto - as hastes possuem tamanhos diferentes aparentemente, empenado  e não possui marcações de regulagem, portanto, mover, nem pensar.","1,0",21 de abril de 2021
60,"não eleva meu laptop o suficiente, deixando ele a tela virada pra baixo quando tento inclinar mais o suporte. Além disso é bem dificil conseguir que os dois pés fiquem iguais, quase sempre um lado fica mais alto deixando o laptop bem torto pra alguma lado.. Não parece um produto feito para isso, a impressão que fica é que alguem moldou um arame para usar provisoriamente de apoio, como uma geringonça feita só para ""quebrar um galho"". Queria ter devolvido a tempo.","1,0",24 de fevereiro de 2021
61,"É bem construído  com um metal forte e bom acabamento de pintura. Ajuda na ergonomia, mas é um sufoco para regular!! Como disseram outros comentários, eu tive que praticamente retorcer o metal para conseguir deixar reto. Não recomendo pelo transtorno.","3,0",25 de setembro de 2020
62,"O produto veio super bem embalado e chegou bem antes do prazo, perfeito!A minha nota é negativa apenas para a fabricante, pois, para o vendedor foi tudo ok.No caso, como podem notar na foto anexada, ele não é devidamente alinhado, ou seja, ele fica meio torto por conta dos suportes não serem exatamente iguais em ambos os lados mesmo em ambiente plano.Infelizmente, isso prejudica, pois, o notebook acaba ficando torto.","3,0",6 de fevereiro de 2022
63,"O produto cumpre sua função, porém veio meio torto e é difícil de manter o notebook reto, ele nunca fica certo com a regulagem padrão, o que faz com seja necessário ficar sempre ajustando a regulagem para que fique reto. Fora isso, tudo certo.","3,0",30 de junho de 2021
64,"Um possível problema de fabricação fez com que o ângulo das hastes verticais fossem diferentes, fazendo com que não desse como ajustar. A solução foi utilizar um calço de papel por debaixo do notebook para que o mesmo ficasse no nível.Outro pequeno problema é que não existe uma borracha na parte onde toca a borda da base do notebook, o que pode acabar marcando, pois o notebook fica apoiado no ferro.","1,0",10 de fevereiro de 2021
65,"Recebi o produto hoje e as primeiras impressões não são boas. Acredito que o suporte que eu recebi está empenado, pois mesmo regulando as hastes na mesma altura, o suporte fica bambo. Além disso, uma das hastes não possui firmeza na articulação que regula a altura, ela só fica firme no nível mais alto e mais baixo, quando tento deixar em uma altura média, a articulação desliza e não fixa. Vou tentar mexer mais no suporte para ver se consigo resolver esses problemas e usá-lo.","2,0",29 de julho de 2021
66,"Ele é muito maleavel, pouco estavel, nao me senti segura com a estabilidade do produto, pensei por diversas vezes que tinha montado errado mas realmente ele é mole... nao vale a pena, corre risco de danificar seu notebook, só nao devolvo por conta da burocracia, nao compraria novamente","3,0",5 de agosto de 2021
67,"Claro que não é o produto certo que comprei queria apenas elevar o notebook, mas utilizar o teclado do mesmo, porem ele fica em uma inclinação muito elevada. serve para quem usa o teclado externo e o notebook apenas como monitor","2,0",19 de abril de 2021
68,"Depois de bastante trabalho, consegui estabilizar o suporte na mesa. Infelizmente ele veio torto, de forma que o tanto o notebook quando o suporte ficavam em falso, com sério risco de queda e dano.Tive que desentortar manualmente (o que não é fácil) as hastes de metal até conseguir algum equilíbrio. Após o esforço, o produto funcionou bem, mas, para algo que não é barato, acredito que não deveria ter esses problemas.","2,0",18 de março de 2021
69,"Meu suporte veio com uma das hastes totalmente frouxa. Eu ajusto e ela cai... Para usar terei de fazer malabarismo e não permitir um sopro, pois tá soltinho em um dos lados, infelizmente.","1,0",6 de maio de 2021
70,"No geral atende bem, só é um pouquinho chato de balancear a inclinação dos pés frontais e achei que o ""freio"" que impede que o notebook escorregue além de ser de plástico e não é preto como o restante do suporte, no entanto, já comprei sabendo que seria assim. O produto tem um bom custo benefício e é bem minimalista, ocupando pouco espaço. Para quem precisa de um para transportar, trata-se de uma ótima opção! Saudações!","3,0",23 de novembro de 2020
71,"Não gostei muito, meu produto veio torto, por isso fica bambo quando não tem o peso do computador em cima. Qualidade ruim, ele é fácil até demais de dobrar, as vezes ele fica virando sozinho e tenho que arrumar constantemente. Usável se você colocar o computador em cima e não mais tocar nele, mas com certeza não vale o preço. Não gostei e não recomendo","2,0",26 de março de 2021
72,"Eu gostei da experiência de utilizar meu notebook em uma posição mais alta, porém o suporte parece que está torto, independentemente da posição em que eu o coloco, ele sempre fica ""bambo"" parece que não é firme, me dá um pouco de medo pois se esbarrar pode acontecer do computador cair. Apesar de tudo acho que se você não se preocupa muito com a instabilidade desse suporte e do trabalho para tentar deixá-lo estável, eu acho que é um produto aceitável pelo preço.","3,0",24 de setembro de 2020
